time(ps)	Q
108580.0	0.9503703
108600.0	0.95844054
108620.0	0.9509082
108640.0	0.9482113
108660.0	0.94371647
108680.0	0.9528885
108700.0	0.9458729
108720.0	0.9552785
108740.0	0.9534229
108760.0	0.95049787
108780.0	0.9458343
108800.0	0.9569584
108820.0	0.9529033
108840.0	0.956906
108860.0	0.9404844
108880.0	0.95082146
108900.0	0.9574709
108920.0	0.9509004
108940.0	0.9551853
108960.0	0.9392604
108980.0	0.92583746
109000.0	0.9288753
109020.0	0.9291423
109040.0	0.92321575
109060.0	0.9356338
109080.0	0.9296681
109100.0	0.9285947
109120.0	0.9360571
109140.0	0.93074983
109160.0	0.931041
109180.0	0.91753536
109200.0	0.92805564
109220.0	0.9109776
109240.0	0.9212622
109260.0	0.92422104
109280.0	0.9225897
109300.0	0.9094043
109320.0	0.8879199
109340.0	0.8981091
109360.0	0.894861
109380.0	0.893494
109400.0	0.89407486
109420.0	0.9145357
109440.0	0.907483
109460.0	0.897542
109480.0	0.8932517
109500.0	0.9120608
109520.0	0.91053027
109540.0	0.91545373
109560.0	0.9310382
109580.0	0.9159229
109600.0	0.9254404
109620.0	0.9326223
109640.0	0.9393383
109660.0	0.91367155
109680.0	0.91063595
109700.0	0.9385674
109720.0	0.9341578
109740.0	0.937947
109760.0	0.9199725
109780.0	0.9400057
109800.0	0.93424124
109820.0	0.9277961
109840.0	0.92938167
109860.0	0.91694176
109880.0	0.9264517
109900.0	0.9132655
109920.0	0.93041176
109940.0	0.91982716
109960.0	0.9065749
109980.0	0.90823513
110000.0	0.9092289
110020.0	0.9231173
110040.0	0.9251772
110060.0	0.9182183
110080.0	0.93258333
110100.0	0.9052376
110120.0	0.914614
110140.0	0.92155194
110160.0	0.90404063
110180.0	0.9210938
110200.0	0.94093835
110220.0	0.91893435
110240.0	0.917837
110260.0	0.92437166
110280.0	0.9170675
110300.0	0.9138651
110320.0	0.87282217
110340.0	0.896365
110360.0	0.8939438
110380.0	0.89953613
110400.0	0.89514124
110420.0	0.9063691
110440.0	0.9113721
110460.0	0.9083225
110480.0	0.9173072
110500.0	0.90181583
110520.0	0.90486044
110540.0	0.9000866
110560.0	0.903115
110580.0	0.91560215
110600.0	0.8655068
110620.0	0.9019405
110640.0	0.92242396
110660.0	0.92187417
110680.0	0.90509254
110700.0	0.9160214
110720.0	0.90273637
110740.0	0.9102023
110760.0	0.92322505
110780.0	0.9243214
110800.0	0.9284638
110820.0	0.9280094
110840.0	0.9290597
110860.0	0.92649543
110880.0	0.9399723
110900.0	0.9336586
110920.0	0.9268666
110940.0	0.9210953
110960.0	0.91781133
110980.0	0.92278385
111000.0	0.9327837
111020.0	0.95636666
111040.0	0.93853396
111060.0	0.90965706
111080.0	0.9289964
111100.0	0.95132583
111120.0	0.94256145
111140.0	0.9477665
111160.0	0.94638574
111180.0	0.94777346
111200.0	0.9605761
111220.0	0.9593036
111240.0	0.9431469
111260.0	0.9442
111280.0	0.9453939
111300.0	0.9463464
111320.0	0.9479853
111340.0	0.9561691
111360.0	0.9504696
111380.0	0.9449468
111400.0	0.93503475
111420.0	0.9563106
111440.0	0.95510846
111460.0	0.9592912
111480.0	0.9636763
111500.0	0.9578534
111520.0	0.96059984
111540.0	0.9498944
111560.0	0.9614505
111580.0	0.9603182
111600.0	0.94540185
111620.0	0.9657565
111640.0	0.95183814
111660.0	0.95184106
111680.0	0.9575814
111700.0	0.9309825
111720.0	0.9463099
111740.0	0.9383425
111760.0	0.9348662
111780.0	0.92020917
111800.0	0.9275109
111820.0	0.9524238
111840.0	0.9444117
111860.0	0.917481
111880.0	0.92349577
111900.0	0.9394107
111920.0	0.9018372
111940.0	0.91297334
111960.0	0.9099724
111980.0	0.9238149
112000.0	0.92829865
112020.0	0.94640803
112040.0	0.9367354
112060.0	0.93280697
112080.0	0.9596671
112100.0	0.94938976
112120.0	0.9534814
112140.0	0.9521581
112160.0	0.9439243
112180.0	0.95080715
112200.0	0.9570372
112220.0	0.9495043
112240.0	0.9609723
112260.0	0.9659085
112280.0	0.95733345
112300.0	0.94848585
112320.0	0.9283718
112340.0	0.9237319
112360.0	0.94742584
112380.0	0.9636785
112400.0	0.95414835
112420.0	0.9576673
112440.0	0.9592227
112460.0	0.9480528
112480.0	0.9413056
112500.0	0.93934
112520.0	0.9356059
112540.0	0.95746875
112560.0	0.95827264
112580.0	0.95298487
112600.0	0.96621484
112620.0	0.9675094
112640.0	0.96350676
112660.0	0.9646925
112680.0	0.9540369
112700.0	0.95819426
112720.0	0.95988643
112740.0	0.9662923
112760.0	0.9518029
112780.0	0.96586293
112800.0	0.95559263
112820.0	0.94858253
112840.0	0.94461805
112860.0	0.9308619
112880.0	0.9420211
112900.0	0.9298414
112920.0	0.93223774
112940.0	0.9345819
112960.0	0.956163
112980.0	0.95415485
113000.0	0.9550945
113020.0	0.93651015
113040.0	0.95701545
113060.0	0.940749
113080.0	0.9492103
113100.0	0.95499325
113120.0	0.94961065
113140.0	0.9413629
113160.0	0.9448892
113180.0	0.939594
113200.0	0.95264596
113220.0	0.95035625
113240.0	0.94516325
113260.0	0.92451775
113280.0	0.95279044
113300.0	0.9210721
113320.0	0.9214561
113340.0	0.91345584
113360.0	0.92500377
113380.0	0.92535186
113400.0	0.9180551
113420.0	0.9129796
113440.0	0.9175984
113460.0	0.92001224
113480.0	0.91185814
113500.0	0.92392695
113520.0	0.932616
113540.0	0.92288387
113560.0	0.9356686
113580.0	0.9227792
113600.0	0.9449837
113620.0	0.9430285
113640.0	0.9394602
113660.0	0.9274399
113680.0	0.93432456
113700.0	0.9513291
113720.0	0.9392047
113740.0	0.94802874
113760.0	0.95608056
113780.0	0.9623147
113800.0	0.95376045
113820.0	0.95079076
113840.0	0.93474877
113860.0	0.9264969
113880.0	0.95516783
113900.0	0.9629762
113920.0	0.9608884
113940.0	0.9610868
113960.0	0.9643231
113980.0	0.959342
114000.0	0.96200657
114020.0	0.9698118
114040.0	0.9604976
114060.0	0.95081234
114080.0	0.9663021
114100.0	0.97166985
114120.0	0.96082157
114140.0	0.9707549
114160.0	0.95800316
114180.0	0.9699724
114200.0	0.9525527
114220.0	0.9652609
114240.0	0.9364521
114260.0	0.955763
114280.0	0.9460784
114300.0	0.9423672
114320.0	0.9406737
114340.0	0.9500644
114360.0	0.95948654
114380.0	0.9635693
114400.0	0.96362454
114420.0	0.962407
114440.0	0.9624299
114460.0	0.93963736
114480.0	0.9478118
114500.0	0.95333195
114520.0	0.9482558
114540.0	0.9526626
114560.0	0.9414451
114580.0	0.94135994
114600.0	0.94160444
114620.0	0.95064545
114640.0	0.954828
114660.0	0.94318074
114680.0	0.95051724
114700.0	0.95015174
114720.0	0.9427064
114740.0	0.93911
114760.0	0.952745
114780.0	0.9487971
114800.0	0.93995166
114820.0	0.92744815
114840.0	0.9308643
114860.0	0.95003694
114880.0	0.95979524
114900.0	0.9647529
114920.0	0.9641261
114940.0	0.9534339
114960.0	0.95204145
114980.0	0.9636919
115000.0	0.9649146
115020.0	0.96877176
115040.0	0.964411
115060.0	0.964989
115080.0	0.9598578
115100.0	0.944608
115120.0	0.96531624
115140.0	0.9692454
115160.0	0.9620016
115180.0	0.9637217
115200.0	0.9589719
115220.0	0.94882977
115240.0	0.9332401
115260.0	0.9582164
115280.0	0.95780385
115300.0	0.9525405
115320.0	0.96565574
115340.0	0.9604747
115360.0	0.9513344
115380.0	0.96090996
115400.0	0.96182305
115420.0	0.94775474
115440.0	0.97676814
115460.0	0.9540999
115480.0	0.956714
115500.0	0.92771566
115520.0	0.958583
115540.0	0.9562536
115560.0	0.9453042
115580.0	0.96152616
115600.0	0.9505658
115620.0	0.9575409
115640.0	0.9644662
115660.0	0.9612133
115680.0	0.95506656
115700.0	0.9569815
115720.0	0.9614229
115740.0	0.96318334
115760.0	0.9566937
115780.0	0.9683301
115800.0	0.9614691
115820.0	0.95420146
115840.0	0.95688033
115860.0	0.96121246
115880.0	0.95431685
115900.0	0.94094104
115920.0	0.95453674
115940.0	0.9528502
115960.0	0.94493645
115980.0	0.93962044
116000.0	0.94483876
116020.0	0.9434391
116040.0	0.95015305
116060.0	0.9424745
116080.0	0.94648397
116100.0	0.9479028
116120.0	0.9574972
116140.0	0.9498684
116160.0	0.94538975
116180.0	0.9569985
116200.0	0.9533924
116220.0	0.95880294
116240.0	0.96065766
116260.0	0.961178
116280.0	0.9625455
116300.0	0.9643847
116320.0	0.9519417
116340.0	0.9437189
116360.0	0.9535567
116380.0	0.96984977
116400.0	0.96734273
116420.0	0.9639393
116440.0	0.96971977
116460.0	0.9649532
116480.0	0.95377743
116500.0	0.93091387
116520.0	0.95864624
116540.0	0.96011513
116560.0	0.9629586
116580.0	0.96112096
116600.0	0.9660313
116620.0	0.9638962
116640.0	0.9641075
116660.0	0.9605376
116680.0	0.9640674
116700.0	0.9661071
116720.0	0.9546535
116740.0	0.9574771
116760.0	0.95778954
116780.0	0.95347244
116800.0	0.95325565
116820.0	0.9517268
116840.0	0.94937897
116860.0	0.94815755
116880.0	0.9493566
116900.0	0.9360387
116920.0	0.94978863
116940.0	0.9541243
116960.0	0.9526739
116980.0	0.95375305
117000.0	0.9411643
117020.0	0.9578121
117040.0	0.95640635
117060.0	0.9641516
117080.0	0.95176005
117100.0	0.95376474
117120.0	0.94956917
117140.0	0.9528286
117160.0	0.958198
117180.0	0.95286953
117200.0	0.9574457
117220.0	0.9493022
117240.0	0.9552153
117260.0	0.96688944
117280.0	0.9675576
117300.0	0.973697
117320.0	0.9783393
117340.0	0.9761288
117360.0	0.9621733
117380.0	0.9757087
117400.0	0.9736316
117420.0	0.9732437
117440.0	0.9698241
117460.0	0.97253084
117480.0	0.97514606
117500.0	0.97546947
117520.0	0.96743345
117540.0	0.97265315
117560.0	0.9684266
117580.0	0.971388
117600.0	0.9703651
117620.0	0.9717367
117640.0	0.960358
117660.0	0.9776252
117680.0	0.9764253
117700.0	0.9708356
117720.0	0.9701992
117740.0	0.97199285
117760.0	0.9551451
117780.0	0.97262406
117800.0	0.9682742
117820.0	0.95864236
117840.0	0.95353884
117860.0	0.9446932
117880.0	0.94788986
117900.0	0.94767314
117920.0	0.9347211
117940.0	0.9197187
117960.0	0.91508347
117980.0	0.92625743
118000.0	0.9492236
118020.0	0.9404383
118040.0	0.95811033
118060.0	0.97320956
118080.0	0.9642639
118100.0	0.9567819
118120.0	0.9566851
118140.0	0.9739294
118160.0	0.9761574
118180.0	0.9634449
118200.0	0.960703
118220.0	0.9434716
118240.0	0.92475945
118260.0	0.9396392
118280.0	0.93773633
118300.0	0.93168175
118320.0	0.9192787
118340.0	0.92478365
118360.0	0.92018294
118380.0	0.92874295
118400.0	0.90463203
118420.0	0.89155346
118440.0	0.8904953
118460.0	0.90856117
118480.0	0.9098747
118500.0	0.9124797
118520.0	0.92256385
118540.0	0.9157312
118560.0	0.9160428
118580.0	0.913213
118600.0	0.9141948
118620.0	0.91078323
118640.0	0.9141749
118660.0	0.9189022
118680.0	0.9025574
118700.0	0.9209244
118720.0	0.90758795
118740.0	0.9284052
118760.0	0.95161194
118780.0	0.9393765
118800.0	0.95788753
118820.0	0.94876134
118840.0	0.958222
118860.0	0.95590544
118880.0	0.94841206
118900.0	0.9425674
118920.0	0.9415751
118940.0	0.9502558
118960.0	0.9507818
118980.0	0.9505345
119000.0	0.9474603
119020.0	0.95132214
119040.0	0.9512366
119060.0	0.9552073
119080.0	0.936408
119100.0	0.92425466
119120.0	0.9467928
119140.0	0.9238605
119160.0	0.9295405
119180.0	0.953149
119200.0	0.9489318
119220.0	0.93673456
119240.0	0.93003863
119260.0	0.9129484
119280.0	0.9245314
119300.0	0.93857735
119320.0	0.94334763
119340.0	0.9296446
119360.0	0.9143419
119380.0	0.9079092
119400.0	0.9228748
119420.0	0.92326725
119440.0	0.93749183
119460.0	0.94110906
119480.0	0.9357137
119500.0	0.9444981
119520.0	0.93773997
119540.0	0.92505574
119560.0	0.94021755
119580.0	0.9418328
119600.0	0.9568009
119620.0	0.95675564
119640.0	0.95629156
119660.0	0.95925736
119680.0	0.95459545
119700.0	0.95837665
119720.0	0.9554633
119740.0	0.9522596
119760.0	0.9597272
119780.0	0.94999915
119800.0	0.96827364
119820.0	0.9678124
119840.0	0.9658914
119860.0	0.951727
119880.0	0.9582665
119900.0	0.9597365
119920.0	0.96022236
119940.0	0.96436065
119960.0	0.96449184
119980.0	0.9623266
120000.0	0.9545162
120020.0	0.96830994
120040.0	0.9684422
120060.0	0.960877
120080.0	0.9545524
120100.0	0.9415429
120120.0	0.94577247
120140.0	0.95195025
120160.0	0.9564369
120180.0	0.9660177
120200.0	0.96180034
120220.0	0.9565897
120240.0	0.95213336
120260.0	0.9222795
120280.0	0.9205564
120300.0	0.9206616
120320.0	0.9523522
120340.0	0.9575091
120360.0	0.9225877
120380.0	0.93746614
120400.0	0.95492357
120420.0	0.9504287
120440.0	0.9564007
120460.0	0.9567995
120480.0	0.9588061
120500.0	0.9525442
120520.0	0.9538388
120540.0	0.95269525
120560.0	0.96106964
120580.0	0.96857303
120600.0	0.9536909
120620.0	0.9636808
120640.0	0.96999246
120660.0	0.9668858
120680.0	0.9731069
120700.0	0.9625208
120720.0	0.96104467
120740.0	0.95962775
120760.0	0.97151494
120780.0	0.9611195
120800.0	0.95183
120820.0	0.9552529
120840.0	0.9728522
120860.0	0.96511954
120880.0	0.97524655
120900.0	0.9597237
120920.0	0.9612451
120940.0	0.9665864
120960.0	0.964847
120980.0	0.9703293
121000.0	0.9731771
121020.0	0.9622073
121040.0	0.9719741
121060.0	0.9686308
121080.0	0.973322
121100.0	0.97622067
121120.0	0.97177404
121140.0	0.9480602
121160.0	0.9574719
121180.0	0.96895915
121200.0	0.96047306
121220.0	0.9590467
121240.0	0.9564088
121260.0	0.96150047
121280.0	0.9640876
121300.0	0.96636313
121320.0	0.9678469
121340.0	0.9563392
121360.0	0.94756484
121380.0	0.939449
121400.0	0.9563547
121420.0	0.9456718
121440.0	0.9507906
121460.0	0.9444323
121480.0	0.9594209
121500.0	0.96323264
121520.0	0.94957286
121540.0	0.9632316
121560.0	0.9599873
121580.0	0.955093
121600.0	0.9572558
121620.0	0.9521687
121640.0	0.9614613
121660.0	0.9672598
121680.0	0.9645558
121700.0	0.95656514
121720.0	0.95921874
121740.0	0.9531615
121760.0	0.9534004
121780.0	0.95653665
121800.0	0.94668484
121820.0	0.96115875
121840.0	0.9545956
121860.0	0.9547856
121880.0	0.9615342
121900.0	0.9477045
121920.0	0.9423168
121940.0	0.9568703
121960.0	0.95001316
121980.0	0.95869315
122000.0	0.95194495
122020.0	0.9499908
122040.0	0.96383405
122060.0	0.95048326
122080.0	0.95840716
122100.0	0.961727
122120.0	0.9549204
122140.0	0.93634105
122160.0	0.9367713
122180.0	0.9555156
122200.0	0.9472619
122220.0	0.95564455
122240.0	0.9607602
122260.0	0.9558473
122280.0	0.9491848
122300.0	0.9542052
122320.0	0.9626956
122340.0	0.9535509
122360.0	0.95920414
122380.0	0.9645598
122400.0	0.9418817
122420.0	0.96100223
122440.0	0.9662744
122460.0	0.9617582
122480.0	0.9635267
122500.0	0.9604428
122520.0	0.96594757
122540.0	0.9627276
122560.0	0.9520017
122580.0	0.94791377
122600.0	0.95573854
122620.0	0.95795906
122640.0	0.9601912
122660.0	0.95489633
122680.0	0.9537082
122700.0	0.94675994
122720.0	0.9532762
122740.0	0.93651533
122760.0	0.95068824
122780.0	0.9534138
122800.0	0.9564045
122820.0	0.958548
122840.0	0.96110564
122860.0	0.95929736
122880.0	0.972022
122900.0	0.96853095
122920.0	0.9566291
122940.0	0.96673805
122960.0	0.96007705
122980.0	0.9565573
123000.0	0.9633542
123020.0	0.9698831
123040.0	0.95016927
123060.0	0.9618625
123080.0	0.96001667
123100.0	0.95840955
123120.0	0.96576875
123140.0	0.9627107
123160.0	0.96427655
123180.0	0.96034724
123200.0	0.96333665
123220.0	0.9522234
123240.0	0.9513029
123260.0	0.95271116
123280.0	0.9487582
123300.0	0.94629455
123320.0	0.9496151
123340.0	0.94418603
123360.0	0.9629364
123380.0	0.9484014
123400.0	0.94326913
123420.0	0.9559762
123440.0	0.959717
123460.0	0.96029913
123480.0	0.9431196
123500.0	0.9305798
123520.0	0.9463635
123540.0	0.9486283
123560.0	0.9344854
123580.0	0.9485784
123600.0	0.96151733
123620.0	0.9610949
123640.0	0.9461771
123660.0	0.95282245
123680.0	0.96297044
123700.0	0.9586913
123720.0	0.9731488
123740.0	0.96480465
123760.0	0.95796514
123780.0	0.945987
123800.0	0.95177364
123820.0	0.9628802
123840.0	0.95633066
123860.0	0.9360698
123880.0	0.9509607
123900.0	0.948357
123920.0	0.9412522
123940.0	0.95855916
123960.0	0.96948487
123980.0	0.959697
124000.0	0.9647358
124020.0	0.96571815
124040.0	0.97882193
124060.0	0.95542145
124080.0	0.96592045
124100.0	0.9616993
124120.0	0.9449731
124140.0	0.9223115
124160.0	0.9132941
124180.0	0.9056645
124200.0	0.90304583
124220.0	0.9221351
124240.0	0.9204007
124260.0	0.91289055
124280.0	0.92997015
124300.0	0.9379516
124320.0	0.9369044
124340.0	0.9163396
124360.0	0.92618376
124380.0	0.8900513
124400.0	0.9203119
124420.0	0.9146914
124440.0	0.9146335
124460.0	0.9303297
124480.0	0.9206936
124500.0	0.9208906
124520.0	0.90091723
124540.0	0.912843
124560.0	0.92211056
124580.0	0.92777514
124600.0	0.9262826
124620.0	0.9111711
124640.0	0.9153608
124660.0	0.9201994
124680.0	0.89895725
124700.0	0.9122485
124720.0	0.9147571
124740.0	0.91737926
124760.0	0.9193225
124780.0	0.90795946
124800.0	0.91311693
124820.0	0.91604924
124840.0	0.9225963
124860.0	0.9106518
124880.0	0.90737545
124900.0	0.91367006
124920.0	0.9094646
124940.0	0.90089047
124960.0	0.9012768
124980.0	0.9221504
125000.0	0.9175851
