TIC1	TIC2
-0.8400347448159018	-0.6389568827988694
-0.8779868797320785	-0.6426765999868844
-0.8495584853877177	-0.5941081561174162
-0.855608539713169	-0.7157102936274558
-0.8739074259709886	-0.750032148334669
-0.847866682951188	-0.6979920177965098
-0.8906416011998768	-0.6556551125484646
-0.8844817865174055	-0.6658158515786661
-0.8644414124860013	-0.8059548837715784
-0.8848475635559965	-0.8991912771579447
-0.8604298570300215	-0.7143165193857048
-0.8358185519424887	-0.6914234422730661
-0.866035920041064	-0.748017750457298
-0.822889145673086	-0.795317919471707
-0.8476234702664318	-0.7593151543446672
-0.8407755613596579	-0.5660422960632334
-0.8544111648394743	-0.6611940896736908
-0.8420269763260027	-0.5754255972806899
-0.8567429460610119	-0.8573287643841399
-0.8352873572124072	-0.5938776897180786
-0.8577644876893629	-0.7054931292753492
-0.8642165836744433	-0.6905941470633126
-0.8942059294746576	-0.5066204916415207
-0.8723446372674408	-0.5162392017869366
-0.8879714311906612	-0.8509766394354443
-0.8798663242552682	-0.6223392097779623
-0.8810647147288848	-0.6035256478197359
-0.8517100718632475	-0.5105324917905762
-0.9112627787331532	-0.6309942363532546
-0.8868602463837042	-0.6253269400420884
-0.8859076643954596	-0.5102661711369394
-0.9045112923282104	-0.391920909862435
-0.8793833399015305	-0.5539508174467147
-0.8189992175036265	-0.8728482919178182
-0.8881122080573316	-0.6452146879720684
-0.8754060885121124	-0.6155772456173372
-0.8541249245886098	-0.6913777838230089
-0.8570604501258442	-0.6481505725571095
-0.841200469303665	-0.5637379144802868
-0.8706537941646428	-0.5419464515886345
-0.8962942128966838	-0.605368951857091
-0.8456703223557669	-0.6439345850196765
-0.8615740976061363	-0.5132913942054946
-0.8440058999483141	-0.5205227546870885
-0.8482517255741169	-0.7918395239971412
-0.829669187643479	-0.6945285680157292
-0.8489449140523466	-0.749998333278878
-0.8281549035569197	-0.5637318113476284
-0.8177075879993011	-0.760897459225996
-0.8810540092542771	-0.6471056100359078
-0.830309783486365	-0.8007032445639886
-0.8529932905562122	-0.5963342201461936
-0.8476124767047972	-0.742387741917601
-0.8587391688281835	-0.5885168963390573
-0.8159622656603032	-0.436565052326365
-0.8637803777418102	-0.6124194875790403
-0.8368193065306521	-0.5208163554214624
-0.8635547036348641	-0.6427789656604808
-0.8262201522493844	-0.5622497306656566
-0.8294877340820844	-0.588273302121249
-0.83165186259441	-0.7351957179129269
-0.8351877571071876	-0.5548162818842008
-0.8625638455582698	-0.84630041594865
-0.8387010989761359	-0.7593482858922864
-0.8419819419008329	-0.45765600290310227
-0.858931934204958	-0.6077005104090776
-0.8415956363269554	-0.5216101547590721
-0.8363927956366046	-0.6556936560022266
-0.8565778841754527	-0.596233896135022
-0.8864024375237928	-0.582458646047858
-0.843327678863365	-0.6604829912757575
-0.8598246543564965	-0.7338609911823293
-0.8663440235071833	-0.8329923532295878
-0.9004059836243391	-0.6946855884613108
-0.8496820647021389	-0.6498099665833168
-0.8652419447059029	-0.6981930481710688
-0.8395576312719802	-0.785530420706209
-0.8952359580461084	-0.8125964674001853
-0.8706390657824059	-0.6894584900119507
-0.8454760081896133	-0.7343437402303166
-0.8743473910424777	-0.4329701945653719
-0.8619679658356257	-0.7549521810382678
-0.8937020648462599	-0.8112048685315605
-0.8672449160099294	-0.8420135323241253
-0.8425096245013393	-0.7608159360232194
-0.8601204619021552	-0.5549297755375204
-0.844573958206618	-0.602043308464776
-0.8674303966409289	-0.9393646465540499
-0.7569559267628835	-0.7064141903863126
-0.7867360637400345	-0.7303955204639645
-0.8437452845352718	-0.7127034446624949
-0.8632471349851326	-0.7096522622291515
-0.8537534680436276	-0.49436596064455784
-0.8358647878595343	-0.4154601994258895
-0.9004720863134963	-0.8072873055305321
-0.8389579679375423	-0.7350725535364315
-0.8492096978363972	-0.8092087112914793
-0.8523868347240301	-0.6348698115122354
-0.7807913931078363	-0.9221111431197297
-0.8560417097276284	-0.8072922299267846
-0.8549423459536656	-0.711367153325062
-0.8564071753143863	-0.65806311131621
-0.8293037461511138	-0.3784398352815075
-0.8436473030225776	-0.6130724706489278
-0.8460760202588733	-0.7079814214554363
-0.8304575773586107	-0.7120133738647402
-0.8323926603386019	-0.6451300198595619
-0.8089632806150817	-0.44794274854969296
-0.8175574061958933	-0.7926644421159534
-0.8239352692530915	-0.7644849470611255
-0.7989989799416535	-0.6508789077682287
-0.7770182018524778	-0.6360166503711673
-0.8298122177393507	-0.5466896660496507
-0.8283685715313636	-0.669394214966039
-0.8227533424152972	-0.644246186591505
